event_id,event_title,market_question,outcomes,prices,volume,liquidity,clob_token_ids,end_date,closed,won
986707,Highest temperature in London on September 10?,Will the highest temperature in London be 26°C or higher on September 10?,"[""Yes"", ""No""]","[""0.0005"", ""0.9995""]",569.1080000000001,5802.67517,"[""225698028421486029421492555571202028608066887984092389233617300498803424641"", ""51835412425823550255128275082573590001833013319237041773965406682884073425708""]",2026-09-10T12:00:00Z,False,False
986599,Lowest temperature in London on September 10?,Will the lowest temperature in London be 5°C or below on September 10?,"[""Yes"", ""No""]","[""0.0065"", ""0.9935""]",116.124,3344.99723,"[""19688311233973742942000421325373458184655481341909634437578763605521416037724"", ""109118269469601185918281082040147132770553725656980571820029707647820423821451""]",2026-09-10T12:00:00Z,False,False
986599,Lowest temperature in London on September 10?,Will the lowest temperature in London be 6°C on September 10?,"[""Yes"", ""No""]","[""0.0085"", ""0.9915""]",25,1684.04204,"[""69778347273283333729538207477646053085689868881344016392667344687974853180368"", ""82996869633432137186270497392529695764403322999035230707364043138654119246256""]",2026-09-10T12:00:00Z,False,False
986599,Lowest temperature in London on September 10?,Will the lowest temperature in London be 7°C on September 10?,"[""Yes"", ""No""]","[""0.007"", ""0.993""]",67.8,1287.20933,"[""100779095327096576293292276372665538023879336123002193970770948999076232987782"", ""14868286412529966327101741897536078955736052645989516204762194078836860790109""]",2026-09-10T12:00:00Z,False,False
986599,Lowest temperature in London on September 10?,Will the lowest temperature in London be 8°C on September 10?,"[""Yes"", ""No""]","[""0.0055"", ""0.9945""]",261.8,1160.16184,"[""61428538713341470132480144924876064630265298511517348016947994524344349186719"", ""8470600814980078464702581144707262035260530256935939787319964998566134629811""]",2026-09-10T12:00:00Z,False,False
986599,Lowest temperature in London on September 10?,Will the lowest temperature in London be 9°C on September 10?,"[""Yes"", ""No""]","[""0.015"", ""0.985""]",513.193444,1287.2375,"[""31661265693822871251124667465158698066982949881506866961991237996271598238202"", ""61573007016143881995281221085779322526538479737589185451674930205289638140741""]",2026-09-10T12:00:00Z,False,False
986599,Lowest temperature in London on September 10?,Will the lowest temperature in London be 10°C on September 10?,"[""Yes"", ""No""]","[""0.025"", ""0.975""]",159.0215,832.6868,"[""39929962360090977938250555331644993518433675657694146865166617328149073870083"", ""88655643111094252893774799691768318324865520328886097468808293414583317594756""]",2026-09-10T12:00:00Z,False,False
986599,Lowest temperature in London on September 10?,Will the lowest temperature in London be 11°C on September 10?,"[""Yes"", ""No""]","[""0.06"", ""0.94""]",472.40477500000003,758.3476,"[""48929150499490058760220058942635052242842451881429403030437988090105889439803"", ""88056241014899657452678912887834705530084803414480430121056416066778705948316""]",2026-09-10T12:00:00Z,False,False
986599,Lowest temperature in London on September 10?,Will the lowest temperature in London be 12°C on September 10?,"[""Yes"", ""No""]","[""0.435"", ""0.565""]",1734.744552,1807.3351,"[""102982027999050567807964786938486083407973025845130425341359172091564475139392"", ""79688900434452562128943224409635346161575063445321780644231717216570766592756""]",2026-09-10T12:00:00Z,False,False
986599,Lowest temperature in London on September 10?,Will the lowest temperature in London be 13°C on September 10?,"[""Yes"", ""No""]","[""0.33"", ""0.67""]",665.453852,2868.7541,"[""80981532853855927396233713643278178442048725147496791988782557515621294961851"", ""18459558616863417050869772765487859342901282475533617479308037256519411656089""]",2026-09-10T12:00:00Z,False,False
986599,Lowest temperature in London on September 10?,Will the lowest temperature in London be 14°C on September 10?,"[""Yes"", ""No""]","[""0.165"", ""0.835""]",383.66260800000003,1332.9803,"[""30269965027752203106420104399271980893341740420467984566535333004392937136471"", ""3362226739485274310412391024231766401836596621543513452129166474569212347868""]",2026-09-10T12:00:00Z,False,False
